Fold,algorithm,init,max_iter,n_clusters,n_init,random_state,N_Clusters,Ruido_%,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inercia,Min_Cluster_%
4,lloyd,random,300,4,10,42,4,0.0,0.1761,1.9464,431.2896,5975.7458,18.75
5,lloyd,random,300,4,10,42,4,0.0,0.1782,1.9417,444.0444,5924.4258,20.45
1,lloyd,random,300,4,20,42,4,0.0,0.1907,1.6117,431.2501,5958.1588,14.83
2,lloyd,random,300,4,20,42,4,0.0,0.1862,1.6572,414.0849,5988.2133,13.41
3,lloyd,random,300,4,20,42,4,0.0,0.1802,1.7199,405.7976,6084.8343,13.77
4,lloyd,random,300,4,20,42,4,0.0,0.1761,1.9464,431.2896,5975.7995,18.75
5,lloyd,random,300,4,20,42,4,0.0,0.1782,1.9417,444.0444,5924.4258,20.45
1,lloyd,random,300,5,10,42,5,0.0,0.1737,1.7704,375.4442,5532.4354,11.78
2,lloyd,random,300,5,10,42,5,0.0,0.1578,1.8974,360.4734,5572.0497,10.65
3,lloyd,random,300,5,10,42,5,0.0,0.1636,1.8404,357.9073,5631.9955,10.29
4,lloyd,random,300,5,10,42,5,0.0,0.1609,1.8837,377.9452,5533.9058,11.58
5,lloyd,random,300,5,10,42,5,0.0,0.1733,1.8426,384.1878,5515.186,10.94
1,lloyd,random,300,5,20,42,5,0.0,0.1737,1.7704,375.4442,5532.4354,11.78
2,lloyd,random,300,5,20,42,5,0.0,0.1578,1.8974,360.4734,5572.0497,10.65
3,lloyd,random,300,5,20,42,5,0.0,0.1636,1.8404,357.9073,5631.9955,10.29
4,lloyd,random,300,5,20,42,5,0.0,0.1607,1.8849,377.9249,5534.044,11.65
5,lloyd,random,300,5,20,42,5,0.0,0.1733,1.8426,384.1878,5515.186,10.94
1,lloyd,random,300,6,10,42,6,0.0,0.1611,1.8362,334.6574,5227.1656,11.0
2,lloyd,random,300,6,10,42,6,0.0,0.1536,1.8767,319.5553,5283.6379,9.37
3,lloyd,random,300,6,10,42,6,0.0,0.1457,1.9404,313.9783,5371.9168,9.65
4,lloyd,random,300,6,10,42,6,0.0,0.1609,1.8136,340.1658,5202.09,10.16
5,lloyd,random,300,6,10,42,6,0.0,0.158,1.8823,339.5857,5235.0512,10.44
1,lloyd,random,300,6,20,42,6,0.0,0.1611,1.8353,334.7225,5226.6268,11.0
2,lloyd,random,300,6,20,42,6,0.0,0.1536,1.8767,319.5553,5283.6379,9.37
3,lloyd,random,300,6,20,42,6,0.0,0.1457,1.9404,313.9783,5371.9168,9.65
